customer_id,cluster
29930,0
6813,2
39451,0
21557,3
16415,0
22853,5
994,5
28952,2
11845,1
25774,0
11303,0
24143,3
29221,5
37216,0
35596,0
13243,2
19854,6
22743,0
11783,0
17858,2
39157,2
6849,0
28504,0
7243,0
1818,5
20841,3
27141,4
31744,3
6247,0
4864,4
33104,3
22380,2
732,0
37565,0
22169,0
21785,6
2327,2
1026,3
15291,0
12996,2
22279,3
20588,3
36763,0
7209,0
7272,5
32875,5
26267,0
10438,0
21417,1
29181,3
386,0
39780,0
22009,1
10247,2
26516,2
26744,0
37593,0
25965,3
2196,0
12775,2
5452,0
14798,0
27848,0
1843,2
16063,0
7897,5
14927,0
6448,0
23752,0
23441,6
35665,5
1810,0
14849,0
2728,0
296,0
34009,0
35994,0
24587,0
34269,2
13150,0
254,5
25752,0
38721,0
38092,2
13583,5
34266,0
30802,0
37533,2
3129,6
7597,0
37570,0
17486,0
20612,0
23799,4
28915,0
7349,2
37849,5
30861,1
15061,0
28653,1
27865,0
1654,2
33916,1
9297,6
5705,0
21609,2
37091,0
2098,2
35931,5
35591,0
23259,0
1034,5
2316,5
25405,0
21567,0
32458,3
29757,0
16931,0
24612,0
3703,1
24976,5
23280,5
33686,3
18825,5
37869,2
31802,0
12295,0
19774,5
9032,2
2675,0
2021,5
39263,0
4624,0
37056,0
17083,0
13735,2
35999,2
14218,1
11278,3
13720,4
22895,0
10996,5
37137,2
3259,2
32390,0
22044,0
30067,5
21789,0
3252,0
20057,3
27605,5
24499,0
3580,6
4067,5
21035,0
23900,5
38965,1
34247,0
9459,2
28668,0
15367,0
26055,5
27204,3
22483,5
15991,2
2605,0
36586,2
29670,0
37857,2
24392,2
31953,4
17178,2
7117,0
8685,4
8532,3
8832,0
36529,0
27389,4
11592,0
19458,2
30456,0
17953,0
2527,2
2741,0
37625,2
14189,0
25389,0
39820,3
11614,2
15549,3
13993,0
17057,0
39770,5
18875,0
28966,0
34370,1
5822,5
3454,1
508,5
25442,2
10500,1
33566,0
11416,0
10873,0
26747,2
6349,0
13848,5
482,4
36828,1
33356,2
25805,3
19117,0
39410,5
2212,0
36761,0
32882,4
32599,0
20272,3
25401,2
18638,4
1119,0
34299,0
18622,1
16720,0
1604,2
28671,5
19420,0
12840,0
30480,2
10171,0
38918,0
11460,2
38371,4
19532,0
17447,0
27977,5
18,6
37007,2
7289,5
32154,0
34084,0
17144,0
18354,5
34379,2
17759,2
10841,5
11151,3
2870,0
12888,0
38511,2
12201,0
37273,5
18824,0
14166,2
33778,2
14395,0
28015,0
19960,0
21929,2
21439,5
4164,0
30679,0
19247,4
12518,0
5082,0
10458,0
34621,3
32547,0
26781,5
23006,2
11496,0
30006,5
23251,2
25553,0
8293,0
97,4
33290,0
20372,5
31617,5
39577,1
12811,4
30522,0
14962,2
8864,6
1932,0
36564,0
13975,5
27867,4
21894,5
26193,0
20564,2
32050,3
3907,0
16084,1
18379,1
4814,2
23484,0
3431,0
18806,6
15794,0
8199,0
17203,0
26400,0
12897,0
31443,2
1738,0
20725,0
15522,3
33443,5
21924,3
33359,0
28256,0
4395,0
9394,0
23989,0
4099,2
17594,3
14850,5
32933,2
6845,0
13585,3
37239,3
15187,0
1454,5
31712,5
38438,2
24564,3
26811,3
1859,0
22997,5
10156,2
3244,4
2462,0
32301,0
32295,2
30924,5
22627,0
28850,0
23493,2
38889,0
240,2
33923,2
7249,5
9978,2
39629,2
32620,2
27561,1
7205,0
26101,3
28944,5
34250,3
34452,0
20081,0
12514,0
23200,1
4793,5
29715,0
31687,0
23899,0
18980,0
27666,2
12747,0
37495,2
10138,3
18583,5
38388,2
16889,2
34164,0
8303,0
28913,3
21153,0
29253,5
14662,0
4267,5
1085,2
35639,0
2176,6
35448,2
7600,2
20645,5
22055,1
22999,5
16996,0
21322,5
19076,0
15709,0
10195,2
450,2
9906,2
39993,0
11122,3
13668,5
30083,0
31246,3
2962,0
10550,5
12895,0
2921,4
31921,5
13180,0
12804,0
19501,0
16302,2
39636,5
38105,0
11038,0
12095,0
6844,5
39275,0
11941,0
31819,3
30864,0
31426,6
9985,0
37358,5
5470,0
2983,0
33890,0
37938,1
11295,2
33172,5
20328,0
40,0
7137,0
31733,0
19528,5
1381,0
2882,5
34795,0
24950,0
24083,0
3722,0
32526,0
28484,5
17499,2
30636,0
7728,0
23020,3
15742,0
22901,5
9586,0
37986,0
30808,2
12605,5
17193,5
18191,2
28450,0
31811,2
2909,0
13075,0
15152,5
7458,0
34708,3
26281,2
26814,5
1308,2
29518,0
2,5
4394,1
32946,5
23380,2
34162,0
18276,0
13247,2
3003,0
13097,0
19571,0
927,0
15897,2
29692,0
6611,2
15851,0
28453,0
15247,0
17819,2
36677,0
